run,motor,timestamp,overall_utility,rvs,fqs,recovery_rate,read_count,runtime_ms,result_hash,files_recovered,files_correct_checksum,files_missing,integrity_score,read_efficiency,seed
16,MFT-First,2026-07-30T21:58:28.714350,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,295.8361969995167,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
17,MFT-First,2026-07-30T21:58:29.003819,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,287.70609900129784,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
18,MFT-First,2026-07-30T21:58:29.294434,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,288.8600780006527,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
19,MFT-First,2026-07-30T21:58:29.589244,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,293.06602100041346,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
20,MFT-First,2026-07-30T21:58:29.884729,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,293.7229120016127,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
21,MFT-First,2026-07-30T21:58:30.174726,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,288.21022900046955,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
22,MFT-First,2026-07-30T21:58:30.466634,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,290.1175200004218,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
23,MFT-First,2026-07-30T21:58:30.760293,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,291.8526160010515,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
24,MFT-First,2026-07-30T21:58:31.054385,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,292.3381100008555,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
25,MFT-First,2026-07-30T21:58:31.343144,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,286.9548169983318,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
26,MFT-First,2026-07-30T21:58:31.637124,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,292.1624949995021,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
27,MFT-First,2026-07-30T21:58:31.926716,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,287.8244450002967,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
28,MFT-First,2026-07-30T21:58:32.211296,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,282.7981449991057,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
29,MFT-First,2026-07-30T21:58:32.495818,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,282.7178780007671,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
30,MFT-First,2026-07-30T21:58:32.784720,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,287.1600029993715,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
1,Carving,2026-07-30T21:58:33.047503,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,260.43181999921217,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
2,Carving,2026-07-30T21:58:33.305249,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,255.94459700005245,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
3,Carving,2026-07-30T21:58:33.562062,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,254.99360199864896,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
4,Carving,2026-07-30T21:58:33.820809,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,256.9696109985671,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
5,Carving,2026-07-30T21:58:34.076633,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,254.06496600044193,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
6,Carving,2026-07-30T21:58:34.333023,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,254.62207700002182,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
7,Carving,2026-07-30T21:58:34.590125,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,255.3375560000859,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
8,Carving,2026-07-30T21:58:34.848535,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,256.6314340001554,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
9,Carving,2026-07-30T21:58:35.105725,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,255.41006000094058,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
10,Carving,2026-07-30T21:58:35.361700,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,254.19540499933646,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
11,Carving,2026-07-30T21:58:35.618999,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,255.4708159987058,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
12,Carving,2026-07-30T21:58:35.876148,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,255.37375000021711,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
13,Carving,2026-07-30T21:58:36.133249,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,255.3209310008242,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
14,Carving,2026-07-30T21:58:36.391030,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,256.008505999489,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
15,Carving,2026-07-30T21:58:36.648755,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,255.91933900068398,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
16,Carving,2026-07-30T21:58:36.905345,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,254.82487699991907,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
17,Carving,2026-07-30T21:58:37.161676,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,254.54672100022435,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
18,Carving,2026-07-30T21:58:37.422646,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,259.1518859990174,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
19,Carving,2026-07-30T21:58:37.681272,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,256.8506610004988,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
20,Carving,2026-07-30T21:58:37.937498,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,254.46776599892473,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
21,Carving,2026-07-30T21:58:38.195169,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,255.86079099957715,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
22,Carving,2026-07-30T21:58:38.454132,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,257.14290700125275,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
23,Carving,2026-07-30T21:58:38.719145,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,263.1981590002397,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
24,Carving,2026-07-30T21:58:38.976184,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,255.27303899980325,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
25,Carving,2026-07-30T21:58:39.232431,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,254.45107800078404,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
26,Carving,2026-07-30T21:58:39.489557,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,255.36998299867264,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
27,Carving,2026-07-30T21:58:39.746873,0.0028,0.0524,0.05318851814663085,0.03333333333333333,27424,255.51072399866825,1f6822061184ba49,4,1,29,0.31342084791909763,0.00029171528588101125,1337
